# fw=nextui workload=menuidle start=2026-09-13 22:27:19 gov=performance max0=2000000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
11015,36073,37145,36676,29600,1416000,2.8,51,3646000,Discharging,1.9,4.7,1.4,2.8,1420,1446,,,,,unsupported
11017,36274,37346,36341,29600,1416000,2.9,51,3646000,Discharging,2.4,2.8,1.9,3.7,1301,1402,,,,,unsupported
11019,35872,37346,36542,29600,1416000,3.0,51,3646000,Discharging,3.8,4.7,2.3,2.3,1382,1406,,,,,unsupported
11022,36207,37145,36542,29600,1416000,3.3,51,3634000,Discharging,5.6,1.4,2.8,2.8,1047,980,,,,,unsupported
11024,36274,37346,36810,29600,1416000,2.9,51,3646000,Discharging,3.3,4.7,1.4,3.3,1418,1434,,,,,unsupported
11026,35805,37346,36676,29600,1416000,2.9,51,3646000,Discharging,5.6,1.9,2.3,1.4,1332,1449,,,,,unsupported
11028,36073,37346,36676,29600,1800000,3.2,51,3646000,Discharging,6.1,1.4,1.9,2.8,1387,1415,,,,,unsupported
11030,36207,37346,36609,29600,1416000,2.5,51,3646000,Discharging,3.3,2.3,1.4,3.3,1432,1416,,,,,unsupported
11033,35738,37346,36743,29700,1416000,3.3,51,3634000,Discharging,5.3,1.3,3.9,3.0,1776,2430,,,,,unsupported
11035,35939,37547,36743,29600,1800000,3.7,51,3645000,Discharging,6.0,2.5,2.5,4.1,4130,6678,,,,,unsupported
11037,36073,37346,36877,29600,1800000,3.7,51,3645000,Discharging,1.7,4.7,4.7,3.3,3484,5614,,,,,unsupported
11040,35872,37212,36542,29600,1416000,3.6,51,3646000,Discharging,3.7,5.5,2.1,2.9,2738,4456,,,,,unsupported
