# fw=nextui workload=menuidle start=2026-09-13 14:02:05 gov=performance
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status
13150,31919,33058,32790,26700,1416000,2,63,3725000,Discharging
13152,32053,33058,32321,26800,1608000,1,63,3724000,Discharging
13154,32120,33527,32321,26700,1800000,2,63,3724000,Discharging
13156,31785,33460,32656,26700,1416000,2,63,3724000,Discharging
13158,31651,32991,32589,26800,1416000,2,63,3723000,Discharging
13160,31919,33460,32589,26700,1416000,2,63,3713000,Discharging
13162,32120,33058,32254,26700,1800000,2,63,3724000,Discharging
13164,31986,33527,32522,26700,1416000,1,63,3723000,Discharging
13167,32254,33259,32455,26700,1416000,2,63,3724000,Discharging
13169,32053,33594,32723,26700,1416000,2,63,3724000,Discharging
13171,31718,33527,32522,26700,1608000,2,63,3724000,Discharging
13173,31651,33259,32522,26700,1800000,2,63,3724000,Discharging
13175,32254,33192,32790,26700,1416000,2,63,3724000,Discharging
13177,31919,33125,32723,26700,1416000,2,63,3723000,Discharging
13179,32053,33259,32656,26700,1608000,2,63,3723000,Discharging
13181,31785,33259,32790,26700,1608000,2,63,3724000,Discharging
13183,31651,33259,32388,26700,1416000,2,63,3712000,Discharging
13185,31852,32857,32656,26700,1608000,2,63,3724000,Discharging
13188,31852,33527,32857,26700,1416000,1,63,3724000,Discharging
13190,31718,33527,32455,26700,1416000,3,63,3723000,Discharging
13192,31785,33326,32589,26700,1416000,2,63,3724000,Discharging
13194,32455,33393,32656,26700,1800000,2,63,3722000,Discharging
13196,31919,33125,32924,26700,1416000,2,63,3723000,Discharging
13198,32053,33661,32321,26700,1608000,2,63,3723000,Discharging
13200,32120,33326,32589,26700,1416000,2,63,3723000,Discharging
13202,31919,32924,32857,26700,1416000,2,63,3723000,Discharging
13204,31986,33259,32589,26700,1608000,2,63,3723000,Discharging
13206,31651,33125,32589,26700,1416000,2,63,3721000,Discharging
13209,31852,33393,32790,26700,1416000,2,63,3722000,Discharging
13211,32321,33125,32589,26700,1416000,2,63,3722000,Discharging
13213,31785,33125,32589,26700,1416000,2,63,3722000,Discharging
13215,31986,33326,32321,26700,1416000,2,63,3722000,Discharging
13217,32187,33192,32656,26700,1416000,2,63,3723000,Discharging
13219,31852,33259,32589,26700,1416000,3,62,3723000,Discharging
13221,31785,33259,32589,26700,1416000,2,62,3722000,Discharging
13223,31785,32991,32388,26700,1416000,2,62,3722000,Discharging
13225,32187,33259,32455,26700,1200000,2,62,3722000,Discharging
13227,31718,33460,32790,26700,1416000,2,62,3711000,Discharging
13230,31919,33393,32522,26700,1800000,2,62,3722000,Discharging
13232,32254,33326,33058,26700,1416000,2,62,3723000,Discharging
13234,32053,33192,32455,26700,1800000,2,62,3722000,Discharging
13236,31785,33393,32589,26700,1800000,2,62,3722000,Discharging
13238,31651,33393,32589,26700,1416000,2,62,3722000,Discharging
13240,31718,33594,32589,26700,1416000,2,62,3721000,Discharging
13242,32120,33527,32455,26700,1416000,2,62,3722000,Discharging
13244,31785,33058,32388,26700,1800000,2,62,3722000,Discharging
13246,31517,33259,32723,26700,1416000,2,62,3722000,Discharging
13248,32120,33527,32455,26700,1416000,2,62,3722000,Discharging
13251,31785,33259,32388,26700,1800000,3,62,3711000,Discharging
13253,31919,33326,32589,26700,1416000,2,62,3721000,Discharging
13255,32053,33393,32656,26700,1200000,2,62,3721000,Discharging
13257,31986,33192,32321,26700,1416000,2,62,3721000,Discharging
13259,31986,33125,32924,26700,1416000,2,62,3721000,Discharging
13261,31450,33259,32924,26700,1416000,2,62,3721000,Discharging
13263,32053,33058,32522,26700,1416000,2,62,3721000,Discharging
13265,31986,33125,32455,26700,1800000,2,62,3721000,Discharging
13267,32321,33460,32589,26700,1608000,2,62,3721000,Discharging
13269,31718,33125,32254,26700,1200000,2,62,3720000,Discharging
13272,32120,33192,32522,26700,1416000,2,62,3721000,Discharging
13274,31852,32991,32589,26700,1416000,2,62,3720000,Discharging
13276,31651,33192,32455,26600,1416000,2,62,3720000,Discharging
13278,31986,33326,32656,26600,1416000,2,62,3720000,Discharging
13280,31919,33326,32388,26700,1416000,2,62,3720000,Discharging
13282,31718,32991,32656,26700,1416000,3,62,3721000,Discharging
13284,32120,33192,32254,26700,1416000,2,62,3721000,Discharging
13286,31450,32924,32455,26600,1416000,2,62,3720000,Discharging
13288,31986,33326,32589,26700,1416000,2,62,3719000,Discharging
13290,31718,33527,32656,26600,1800000,2,62,3720000,Discharging
13293,32120,33259,32455,26700,1800000,2,62,3720000,Discharging
